Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABalpaaapp	0	ABalpaaappa	ABalpaaappp	0.817582468	0.01053808	-0.351009037
ABalpaap	0	ABalpaapa	ABalpaapp	0.526998683	0.518768248	0.54422258
ABalpaapa	0	ABalpaapaa	ABalpaapap	0.655987619	0.641392504	0.200809219
ABalpaapaa	0	ABalpaapaaa	ABalpaapaap	0.889494873	0.187597933	-0.187602175
ABalpaapap	0	ABalpaapapa	ABalpaapapp	0.822358133	0.157185604	-0.397038517
ABalpaapp	0	ABalpaappa	ABalpaappp	0.833531758	0.317392225	0.11370081
ABalpaappa	0	ABalpaappaa	ABalpaappap	0.445140107	0.451753054	0.583523043
ABalpaappp	0	ABalpaapppa	ABalpaapppp	0.498440108	0.667179294	0.396284737
ABalpap	0	ABalpapa	ABalpapp	0.839430934	0.303920144	0.046758784
ABalpapa	0	ABalpapaa	ABalpapap	0.716705713	0.318272279	0.453730894
ABalpapaa	0	ABalpapaaa	ABalpapaap	0.912060998	-0.029330535	0.255292497
ABalpapaaa	0	ABalpapaaaa	ABalpapaaap	0.866206328	0.235888993	-0.195599601
ABalpapaap	0	ABalpapaapa	ABalpapaapp	0.890507663	-0.023274253	-0.069189927
ABalpapap	0	ABalpapapa	ABalpapapp	0.910518118	-0.035545073	0.231228135
ABalpapapa	0	ABalpapapaa	ABalpapapap	0.914303864	-0.009059571	-0.053283298
ABalpapapp	0	ABalpapappa	ABalpapappp	0.825024791	0.092392551	-0.31892167
ABalpapp	0	ABalpappa	ABalpappp	0.84189675	0.313806173	0.080731155
ABalpappa	0	ABalpappaa	ABalpappap	0.917940533	-0.009879746	-0.065197949
ABalpappaa	0	ABalpappaaa	ABalpappaap	0.820464244	0.398248951	0.052818945
ABalpappap	0	ABalpappapa	ABalpappapp	0.904112717	-0.062676994	-0.136251681
ABalpappp	0	ABalpapppa	ABalpapppp	0.859139306	0.150540675	0.199707333
ABalpapppa	0	ABalpapppaa	ABalpapppap	0.84948309	-0.232944611	-0.349098427
ABalpapppp	0	ABalpappppa	ABalpappppp	0.894222523	-0.043286326	-0.20696862
ABalpp	0	ABalppa	ABalppp	0.483842107	0.206151536	0.788639956
ABalppa	0	ABalppaa	ABalppap	0.826851168	0.147930284	-0.020111147
ABalppaa	0	ABalppaaa	ABalppaap	0.605997734	0.440409435	0.369953623
ABalppaaa	0	ABalppaaaa	ABalppaaap	0.569341105	0.634273549	-0.024806784
ABalppaaap	0	ABalppaaapa	ABalppaaapp	0.793276954	0.350941815	0.234856706
ABalppaap	0	ABalppaapa	ABalppaapp	0.794112219	0.269632311	-0.179471829
ABalppaapp	0	ABalppaappa	ABalppaappp	0.800793301	0.412631623	-0.124993963
